team,year,Firstname,Surname,PAV_total
15,2020, Dylan,Roberton,0.6
15,2020, Sebastian,Ross,11.67
15,2020, Paddy,Ryder,14.98
15,2020, Shane,Savage,2.43
15,2020, Jack,Sinclair,9.7
15,2020, Jack,Steele,23.79
15,2020, Callum,Wilkie,12.01
16,2020, Aliir,Aliir,9.31
16,2020, Joel,Amartey,0.44
16,2020, James,Bell,3.04
16,2020, Nick,Blakey,12.19
16,2020, Kaiden,Brand,1.11
16,2020, Ryan,Clarke,7.51
16,2020, Harry,Cunningham,11.42
16,2020, Jordan,Dawson,16.01
16,2020, Oliver,Florent,15.64
16,2020, Zac,Foot,1.02
16,2020, Robbie,Fox,10.65
16,2020, Sam,Gray,2.43
16,2020, Will,Hayward,8.08
16,2020, Isaac,Heeney,5.57
16,2020, George,Hewett,3.99
16,2020, Josh,Kennedy,11.31
16,2020, Matt,Ling,1.49
16,2020, Jake,Lloyd,16.74
16,2020, Tom,McCartin,8.09
16,2020, Justin,McInerney,5.86
16,2020, Hayden,McLean,3.63
16,2020, Lewis,Melican,5.97
16,2020, Callum,Mills,12.21
16,2020, Sam,Naismith,2.6
16,2020, Colin,ORiordan,3
16,2020, Tom,Papley,18.19
16,2020, Luke,Parker,19.15
16,2020, Dane,Rampe,10.49
16,2020, Sam,Reid,5.5
16,2020, Ben,Ronke,1.82
16,2020, James,Rowbottom,13.54
16,2020, Callum,Sinclair,11.98
16,2020, Dylan,Stephens,4.15
16,2020, Ryley,Stoddart,0.92
16,2020, Elijah,Taylor,2.24
16,2020, Lewis,Taylor,5.17
16,2020, Jackson,Thurlow,6.25
16,2020, Chad,Warner,0.7
16,2020, Sam,Wicks,3.37
18,2020, Marcus,Bontempelli,26.97
18,2020, Josh,Bruce,9.41
18,2020, Louis,Butler,0.85
18,2020, Ben,Cavarra,1.85
18,2020, Zaine,Cordy,8.75
18,2020, Hayden,Crozier,11.62
18,2020, Bailey,Dale,5.7
18,2020, Caleb,Daniel,15.2
18,2020, Tory,Dickson,0.21
18,2020, Josh,Dunkley,11.06
18,2020, Taylor,Duryea,2.08
18,2020, Tim,English,18.53
18,2020, Ryan,Gardner,5.11
18,2020, Billy,Gowers,0.78
18,2020, Will,Hayes,0.87
18,2020, Lachie,Hunter,10.41
18,2020, Jason,Johannisen,13.06
18,2020, Lin,Jong,0.98
18,2020, Alex,Keath,9.85
18,2020, Tom,Liberatore,16.13
